"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg"
"1","1","Álex Abrines","SG","25","OKC","31","2","588","4.4","12.5",".357","3.3","10.1",".323","1.2","2.4",".500","1.0","1.0",".923","0.4","3.4","3.8","1.6","1.3","0.5","1.1","4.2","13.1","103","111"
"2","2","Quincy Acy","PF","28","PHO","10","0","123","1.6","7.0",".222","0.8","5.8",".133","0.8","1.2",".667","2.7","3.9",".700","1.2","8.5","9.7","3.1","0.4","1.6","1.6","9.3","6.6","87","116"
"3","3","Jaylen Adams","PG","22","ATL","34","1","428","4.1","11.9",".345","2.7","8.0",".338","1.4","3.9",".361","0.8","1.0",".778","1.2","5.3","6.5","7.0","1.5","0.5","3.0","4.9","11.7","99","115"
"4","4","Steven Adams","C","25","OKC","80","80","2669","8.4","14.1",".595","0.0","0.0",".000","8.4","14.1",".596","2.6","5.1",".500","6.8","6.5","13.3","2.2","2.0","1.3","2.4","3.6","19.4","120","106"
"5","5","Bam Adebayo","C","21","MIA","82","28","1913","7.2","12.4",".576","0.1","0.4",".200","7.1","12.0",".588","4.2","5.8",".735","4.2","11.0","15.2","4.7","1.8","1.7","3.1","5.2","18.6","120","104"
"6","6","Deng Adel","SF","21","CLE","19","3","194","2.8","9.2",".306","1.5","5.9",".261","1.3","3.3",".385","1.0","1.0","1.000","0.8","4.1","4.9","1.3","0.3","1.0","1.5","3.3","8.2","85","121"
"7","7","DeVaughn Akoon-Purcell","SG","25","DEN","7","0","22","6.7","22.3",".300","0.0","8.9",".000","6.7","13.4",".500","2.2","4.5",".500","2.2","6.7","8.9","13.4","4.5","0.0","4.5","8.9","15.6","84","104"
"8","8","LaMarcus Aldridge","C","33","SAS","81","81","2687","12.4","24.0",".519","0.2","0.8",".238","12.3","23.2",".528","6.3","7.5",".847","4.6","9.0","13.5","3.5","0.8","1.9","2.6","3.3","31.4","117","110"
"9","9","Rawle Alkins","SG","21","CHI","10","1","120","5.3","15.8",".333","1.2","4.8",".250","4.0","10.9",".370","3.2","4.8",".667","4.4","6.1","10.5","5.3","0.4","0.0","3.2","2.8","15.0","93","117"
"10","10","Grayson Allen","SG","23","UTA","38","2","416","7.7","20.5",".376","3.7","11.4",".323","4.0","9.1",".443","5.2","6.9",".750","0.3","2.3","2.6","2.9","0.7","0.7","3.8","5.4","24.3","95","111"
"11","11","Jarrett Allen","C","20","BRK","80","80","2096","7.6","12.9",".590","0.1","1.0",".133","7.5","11.9",".629","4.5","6.3",".709","4.3","10.9","15.3","2.5","1.0","2.7","2.3","4.2","19.8","123","106"
"12","12","Kadeem Allen","PG","26","NYK","19","1","416","7.5","16.3",".461","2.0","4.2",".472","5.6","12.2",".457","4.9","6.3",".778","0.9","5.0","5.9","8.8","1.9","0.5","3.0","5.3","21.9","116","114"
"13","13","Al-Farouq Aminu","PF","28","POR","81","81","2292","5.4","12.5",".433","2.0","5.9",".343","3.4","6.6",".514","3.2","3.7",".867","2.4","10.5","12.9","2.2","1.4","0.7","1.5","3.0","16.1","118","109"
"14","14","Justin Anderson","SF","25","ATL","48","4","463","6.4","15.7",".408","2.4","7.7",".312","4.0","8.0",".500","2.6","3.5",".743","2.4","6.0","8.4","2.3","2.2","1.3","2.3","4.8","17.8","103","113"
"15","15","Kyle Anderson","SF","25","MEM","43","40","1281","5.8","10.7",".543","0.3","1.3",".265","5.5","9.4",".583","1.4","2.5",".578","1.9","7.9","9.7","5.0","2.1","1.4","2.3","4.3","13.4","110","107"
"16","16","Ryan Anderson","PF","30","TOT","25","8","322","3.1","10.3",".304","1.3","6.0",".225","1.8","4.3",".414","1.8","2.4",".750","2.7","5.4","8.0","2.8","0.6","0.1","2.1","3.7","9.4","90","118"
"17","16","Ryan Anderson","PF","30","PHO","15","8","278","3.3","10.3",".317","1.2","5.8",".206","2.1","4.5",".462","1.9","2.4",".786","2.4","5.3","7.7","2.9","0.5","0.2","2.1","4.0","9.6","91","119"
"18","16","Ryan Anderson","PF","30","MIA","10","0","44","2.2","10.0",".222","2.2","6.7",".333","0.0","3.3",".000","1.1","2.2",".500","4.4","5.6","10.0","2.2","1.1","0.0","2.2","2.2","7.8","86","111"
"19","17","Ike Anigbogu","C","20","IND","3","0","6","0.0","24.5",".000","0.0","0.0","","0.0","24.5",".000","0.0","0.0","","8.2","16.3","24.5","8.2","0.0","8.2","8.2","0.0","0.0","33","96"
"20","18","Giannis Antetokounmpo","PF","24","MIL","72","72","2358","14.2","24.6",".578","1.0","4.0",".256","13.2","20.6",".641","9.9","13.5",".729","3.1","14.6","17.7","8.4","1.8","2.2","5.3","4.6","39.3","121","99"
"21","19","Kostas Antetokounmpo","PF","21","DAL","2","0","11","0.0","13.2",".000","0.0","0.0","","0.0","13.2",".000","8.8","17.6",".500","0.0","4.4","4.4","0.0","8.8","0.0","4.4","0.0","8.8","39","97"
"22","20","Carmelo Anthony","PF","34","HOU","10","2","294","8.2","20.2",".405","3.5","10.7",".328","4.7","9.5",".491","2.5","3.7",".682","1.5","7.5","9.0","0.8","0.7","1.2","1.3","5.3","22.4","103","112"
"23","21","OG Anunoby","SF","21","TOR","67","6","1352","6.5","14.3",".453","2.4","7.2",".332","4.1","7.2",".574","1.3","2.2",".581","2.1","4.9","7.0","1.7","1.6","0.8","1.9","5.0","16.6","104","109"
"24","22","Ryan Arcidiacono","PG","24","CHI","81","32","1961","4.6","10.3",".447","2.0","5.4",".373","2.6","5.0",".527","2.2","2.5",".873","0.7","4.7","5.4","6.7","1.6","0.1","1.6","4.2","13.5","121","115"
"25","23","Trevor Ariza","SF","33","TOT","69","69","2349","5.9","14.9",".399","2.9","8.8",".334","3.0","6.1",".493","2.6","3.3",".793","1.0","6.5","7.5","5.1","1.8","0.4","2.1","2.6","17.5","107","115"
"26","23","Trevor Ariza","SF","33","PHO","26","26","884","4.6","12.3",".379","2.7","7.5",".360","1.9","4.8",".409","1.9","2.3",".837","0.9","7.0","7.8","4.7","2.1","0.4","2.1","2.4","13.9","104","115"
"27","23","Trevor Ariza","SF","33","WAS","43","43","1465","6.7","16.5",".409","3.1","9.5",".322","3.7","6.9",".528","3.0","3.9",".777","1.1","6.2","7.3","5.3","1.7","0.4","2.2","2.8","19.6","109","115"
